English,Italian
TRAFO 440-230,TRASFORMATORE
TIMER BOARD CPL,SCHEDA TIMER CPL
FOOT H=150MM,PIEDE H=150MM
DOUBLE SOLNOID VALVE,ELETTROVALVOLA DOPPIA
"FULL IND,CUPB,H2,4ZONE,2S,1000X900X700H","INDUZ,AMPIA SUP,4 ZONE+VANO ARM,,2L,H700"
HALOGEN LAMP PIECE,LAMPADA
COVER ASSY TBS120/140,COMPLESSIVO COPERCHIO TBS120/140
MICROSWITCH,MICROINTERRUTTORE
"REPL,= 077712344240",PIASTRA ELETTRICA 3KW 440V
BOLT HANDLE UET,BULLONE HANDLE UET
NUT TBOT10-30R,DADO TBOT10-30R
THERMOREGULATOR IWC720,TERMOREGOLATORE IWC720
SCREWDRIVER PHILLIPS KNIRPS-PH1X25,CACCIAVITI A CROCE TIPO CORTO PHILLIPS
BELT FIXED,FISSAGGIO CINGHIA
"PLAN,MIX,-TABLE-FLAT PANEL+HUB-20L-3P/50","MESC,PLAN,20L-BANCO-MEC-H415/3/50"
ESAGONAL SPACER M5X15,DISTANZIALE ESAGONALE M5X15
BRACKET_EMI FILTER_SIMPLICITY,SQUADRETTA
"V-RING,SEALING",ANELLO DI TENUTA A V
ISOLATION,ISOLAMENTO
WAIST CLAMP,FASCETTA
CABLE GUIDE,GUIDA CAVO SPILLONE
CUP,TAZZA
PEDAL,PEDALE
"NOZZLE DIA 5,90","UGELLO DIA 5,90"
AERATOR,AERATORE
BEARING 24X27X20 PA,CUSCINETTO 24X27X20 PA
KEY 8X7X25,CHIAVE
LINEAR ACTUATOR LEFT,ATTUATORE LINEARE SINISTRO
16MF CAPACITOR,CONDENSATORE ELETTRICO
SPROCKET FIXING PIN,SPINA
THERMOSTAT BOARD,SCHEDA TERMOSTATO
COMPLETE MOTOR KE180,MOTORE COMPLETO KE180
SPARK PLUG GASKET,GUARNIZIONE CANDELINA BOILER
PARTING STRIP,STRISCIA DI SEPARAZIONE
DRAINAGE PIP,CONDOTTO DI SCARICO
SUPPORT TRI TR260,SUPPORTO TRI TR260
INSTRUCTION FOIL CONTACTOR,FOGLIO ISTRUZIONI CONTATTORE
CHAIN LINK,ANELLO CATENA
PRESSURE SPRING,MOLLA DI PRESSIONE
BLADE COMPLETE,LAMA COMPLETE
LED LAMP,LED STRIPE
HEATED CENTREPIECE,CENTROTAVOLA RECHAUD
WING SHAFT 9,ALBERO
KNOB ASSY CPX,GRUPPO MANOPOLA CPX
PIP,TUBO
"EL,FREE COOK,WARM,CAB,1S,BS,1000X900X7","PIASTRA EL,FREE COOKING+ARM,CAL,,1L ALZ"
ASSEMBLY GUIDE,GUIDA AL MONTAGGIO
M2 GASKET,GUARNIZIONE
PERFORATED BOX,FILTRO A CESTELLO
M42 MICROMETER CARTER,SUPPORTO
HUB ASSEMBLY,MOZZO
BURNER ASS,BRUCIATORE ASS
SWITCHBOARD 24V,PULSANTIERA 24V
