English,Italian
MEMBRANE UD-1,MEMBRANA UD-1
PLASTIC BASE LT8,BASE CABINATO LT8
COMMUTATOR 6 POS,COMMUTATORE 6 POS
MOTOR CASING K120,CARTER MOTORE K120
"SCREW F3,5X13 N11725",VITE
SHARPENER COVER,COPRIAFFILATOIO
GAS NOZZLE,UGELLO GAS
PIN ASS,SPINA
GRATING DISC,DISCO GRATTUGIA
TIMER RELAY,RELE' TEMPORIZZATORE 24/230V
"EL,WARM CAB,1DOOR,H2,GN,1S,500X900X550H","VANO CALDO ELET,,1P,H2,GN,1L,500XH550"
"REPL,= 0700246391",GUARNIZIONE PER LAMPADA
SHUTTLE HANDLE ASSY-UNBRANDED,MANIGLIA
"OPEN BASE,H2,GN,1-SIDE,500X900X550H",VANO APERTO H2 GN 1 LATO 500XH550
CAFÉ SPRAYZ,SPRUZZATORE
CUTERLY BELT,CINGHIA
RIVET,RIVETTO
CURTAIN 1174X2000MM KIT,PORTA A STRISCE PS12/200 PER PORTA LUCE NETTA 1174X2000MM KIT
SIMPLE TERMINAL,TERMINAL
MANOEUVRING SPACER LM500,DISTANZIALE DI MANOVRA LM500
BOTTOM CONNECTOR,CONNETTORE INFERIORE
CARD COMMANDE INDUCTION,SCHEDA COMMANDE INDUCTION
SPRING CONTAINER,CAMICIA MOLLA PORTA
DIMMER,VARIATORE DI LUMINOSITÀ
LOWER MOTOR FLANGE,FLANGIA MOTORE INFERIORE
THERMOSTAT/KLIXON,TERMOSTATO/ KLIXON
"ALUM,CORNER SHELV,-POLY,TIERS-475X2196MM","SC,AD ANG ALLUM,RIP,POLYETH-475X2196MM"
SCREW M5*10,VITE M5*10
SUPPORT FRONTSIDE,SUPPORTO
GASKET 646X400MM,GUARNIZIONE 646X400MM
BOWL BE21A,VASCHETTA 20 LT
"REPL,= 0780005379",BODENSCHEIBE
"GRIP 20202 I,150/25-M6","IMPUGNATURA ELESA 20202 I,150/25-M6"
GUIDE HSPE,GUIDA HSPE
SUPPORT EQ BMX60,SUPPORTO EQ BMX60
RELAY 240V DPST,RELE
GLIMMER,MICA
"REPL,= 077018015458",TEMPERATURBEGRENZER KOCHKESSEL
"REPL,= 0780054630",UGELLO GAS
RUBBER BAND,ELASTICO
AIR VALVE,VALVOLA SFIATO ARIA
"PASSTH,BASE,H2,GN,4DOOR,2S,1000X800X550H",BASE APERTA PASSANTE1000MM 4PORTE 2LATI
PROTECTIVE FOAM,ISOLANTE
TRUNKING,CANALE
BASKET GN1/1,CESTO GN1/1
"VACUUM PACKER,ALUM,,BAR=2X560MM","CONFEZIONATRICE SOTTOVUOTO,ALLUM,,2X560"
RISER ROD,TONDINO ORRIZZONTALE REGOLAZIONE BACINE
"INFRARED TOP,4 ZONE,1S,BSPL,800X850X250H","PIANO INFRAROSSO,4 ZONE,1LATO,ALZAT,H250"
LATCH OUTSIDE,SCROCCO
EVAPORATOR EVAPORATOR KUEBA,EVAPORATORE EVAPORATOR KUEBA
THERMOSTAT K50-P1115,TERMOSTATO K50-P1115
WARMER ELEMENT_75W/220V,ELEMENTO PIÙ CALDO_75W/220V
"HDPE DN50*3,0-600MM",CONDUTTURA
DRAIN SCREW,UGELLO LAVAGGIO
BULB RETAINER,FERMO BULBO
CHROMIUM-PLATED HANDLE,MANICO REGOLAZIONE CROMATO
MIXING ELEMENT,AGITATORE LOLA 6 LT ULTRAFORM NERO N2320 003
BRACKET SHELF,SQUADRETTA
BRUSH ATTACHMENT 100LT,ATTACCO 100LT
BLADE SCRAPER LOWER,LAMA SCRAPER LOWER
FRAME LEFT/RIGHT,CORNICE LEFT/RIGHT
NEW TAMPER SUPPORT,SUPPORTO
HINGE UNIVERSAL,CERNIERA UNIVERSAL
"REPL,= 077000222260",VALVOLA DI ESPANSIONE
"O-RING 100X2,5","ANELLO OR 100X2,5"
TANK HEATING,RESISTENZA
SWITCH REED,SENSORE MAGNETICO
STEAM GENERATOR,GENERATORE DI VAPORE
CONTACT NC,CONTATTO
GASKET THERMOSTAT,GUARNIZIONE THERMOSTAT
RIGHT ANGLE JOINT,GIUNTO
CAPACITOR RUN,CONDENSATORE ELETTRICO
PCB TN EWCD500,SCHEDA ELETTRONICA TN EWCD500
LOWER RIGHT HINGE,CERNIERA INFERIORE DESTRA
"DOOR GASKET,IM,350X551INT 398X599EST","GUARNIZIONE PORTA,IM,350X551INT 398X599EST"
COLUMN R DN2,COLONNA DX DN2
STEAM HEATING,RESISTENZA
MXD-M7D PUSH-BUTTON SPRING,MOLLA
COVERING LU7,COPERTURA LU7
"CLAMP D,8X12X7,5","FASCETTA D,8X12X7,5 TIPO TORRO"
"WORK TOP,CLOSED,1-S,BACKSPL,300X800X250H",NEUTRO TOP 300MM 1 LATO C/ALZATINA
"OVERCURRENTRELAY 0,8-1,2A","RELE' DI MASSIMA 0,8-1,2A"
MAGNETIC SENSOR,SENSORE
ROD CENTRAL,ASTA CENTRAL
GLASS 1885X360MM,VETRO 1885X360MM
"ALUM,CORNER SHELV,-POLY,TIERS-475X2552MM","SC,AD ANG ALLUM,RIP,POLYETH-475X2552MM"
TOOTHED BELT,CINGHIA DENTATA
"EL,CHIP SCUTTLE,1/1GN,1SIDE,400X900X250H","SCALDAPATATE ELET GN 1/1,1 LATO H250"
AGITATOR TR120,AGITATORE TR120
"FLR,DRAIN+GRATE+C,SIPH-HOR,OUT,400X500","GRIGLIATO+-SIFONE CENTR,-ORIZZ,400X500"
ARM GROUP,GRUPPO BRACCIO
THREAD KIT,KIT FILO DI TAGLIO
PROFILE C UPPER,PROFILO A C SUPERIORE
"INDUCTION,4Z,ST,OVEN,1S,BS,1000X900X800H","INDUZIONE 4 ZONE+FORNO ST 1LATO,ALZAT"
FIXING SPRING,MOLLA FISSAGGIO CAVO RISCALDANTE
BLADE COMPLETE,LAMA COMPLETE
"CARTON,SINGLE HOPPER",GUARNIZIONE PIATTA
IMPELLER E1000,GIRANTE RISCIACQUO E1000
"MOTOR,WHIPPER,230VAC,CHIAPHUA",MOTORE
CABLE FOR WHB,CAVO
CHIMNEY ASSY,CAMINO ASSY
GLASS S-ER15 796X696MM,VETRO S-ER15 796X696MM
RINSE NOZZLE,INIETTORE DI RISCIACQUO
MOVING RACK,CREMAGLIERA MOBILE
"ALLUMINIUM RIVET DIA,2,9X11","RIVETTO IN ALLUMINIO DIA,2,9X11"
TOOL PSR100,ATTREZZO PSR100
CONACTOR AUXILIARY CONTACTS,CONTATTO AUSILIARIO
STEAM OPTIMIZER,ELETTROVALVOLA VAPORE
PROTECTION SHEET,LAMIERA DI PROTEZIONE
"OPEN BASE,GN,1-SIDE,H2-700X850X450H",VANO APERTO H2 GN 1 LATO 700XH450
TONGUE 6X6X60,LINGUETTA 6X6X60
FLEXIBLE,"TUBO FLESSIBILE INOX L,30CM M8X1 E MG1/2 OR 23X1,5"
BELT 864J14,CINGHIA
LEVER ASS,LEVA ASS
SPACER POLYETHYLENE,DISTANZIALE POLYETHYLENE
SCREW M10X20,VITE M10X20
KNOB MC 50.058,MANOPOLA
COMMUTATOR PROTECTION,PROTEZIONE COMMUTATORE
DRAWER RUNNER CARRIAGE,GUIDA CASSETTO
RADIATOR FILTER,"FILTRO MM 218X218XSP,6 20PPI"
COTTON CLOTHING,TELO COTONE INF PER S130ST KIT 3PZ
GRILL 352X330MM,GRIGLIA 352X330MM
"EL,MULTIBRAISER,2/1GN,1SIDE,800X800X700H","BRASIERA EL,MULTIF GN 2/1 1LATO H 700"
PROBE 50L L=335MM,SONDA 50L L=335MM
GARBAGE BASKET WELDING,CESTO
CUTTER K25,LAMA
M5 NUT,DADO M5
CEILING LAMP,PLAFONIERA
"HANDWHEEL ALLUMINIUM MOD,8","VOLANTINO ALLUMINIUM MOD,8"
COMPRESSOR TAGP-2522Z,COMPRESSORE TAGP-2522Z
"FAN DIA,450MM","VENTILATORE ASSIALE ASPIRANTE DIA,450MM"
"CONTROL,SURGE PROTECTION",CONTROLLO PROTEZIONE DA SOVRATENSIONE
WHISK SET 2PCS,FRUSTA SET 2PZ
H FUSE,FUSIBILE H
CABLE_USB_PANEL MOUNT,PANNELLO
DISPLAY FILTER_GNB,FILTRO
PLUG PERMEABLE,TAPPO
IGNITOR SPARK,CANDELA
"ANGLE 3/8""A-3/8""A","ANGOLARE 3/8""A-3/8""A"
WATER STOP CONNECTOR,CONNETTORE
REFRIGERATING MACHINE MODUL,GRUPPO REFRIGERANTE
SCREW M12,VITE PRIGIONIERO GAMBO M12
CABLE CHANNEL COVER,COPERTURA
SPRING SPEEDELIGHT,MOLLA SPEEDELIGHT
CHARCOAL FILTER,FILTRO
LABEL_GMCW LOGO_FS/BEV,ETICHETTA
DGREASD BEARING K120,CUSCINETTO DGREASD K120
GASKET 705X835MM,GUARNIZIONE 705X835MM
R/FE FLOAT,GALLEGGIANTE R/FE
"REPL,= 077019001221",MECHAN SICHERUNG
TAP HOSE,GUARNIZIONE RUBINETTO CIOCC
HINGE COVERING,COPERTURA CERNIERA
V-BELT XPZ1587,CINGHIA
"EL,DEEP FRYER,1X7L,1-SIDE,400X900X800H","FRIGGITRICE ELETTRICA 7 LT,1 LATO H800"
"REPL,= 0780057400",VETRO PORTA
"RIVET NUT M10X1,5",RIVETTO
"WINTER JACKET SZ,M","GIUBBINO INVERNALE SZ,M"
FRAME UPPER/LOWER,CORNICE UPPER/LOWER
DUO DRAIN GRATE,FILTRO SCARICO
CHROME GRID,GRIGLIA CROMATA
LABEL_HOT LIQUID_GB5,ETICHETTA
FILTER MARINE 100X130,PANNELLO FILTRANTE AISI 304 100X130
TRANSMIT PHOTOELECTRIC CELL,FOTOCELLULA TRASMITTENTE
PUMP 50HZ,POMPA 50HZ
SUPPORT BRACKET,CAVALLOTTO
PROTECTION GLASS,VETRO DI PROTEZIONE
TMER,TIMER TRONIC 6 TEMPI (2010
PCB LION,SCHEDA ELETTRONICA LION
YELLOW LAMP,LAMPADA GIALLA
LEVER COMPL,LEVA
"PLATFORM SCALE,AUTOMATIC,200KG/100GR","BILICO A PAVIMENTO,AUTOMAT,200KG/100GR"
RETAINING PIN,PERNO DI RITEGNO
CAM NEEDLE,D10X9 RULLINO OT/58 CAMME E-LUX
"GAS TOP,4 BURNERS,1-SIDE,1000X900X250H",CUCINA A GAS 4 FUOCHI 1 LATO H250
CLAMP PBOT,CONDUTTURA PBOT
PLATE REAR LMT,PIASTRA REAR LMT
EVAPORATOR CROSSBEAM,"TRAVERSA SOST,EVAPORATORE MP"
"EL,SOLID TOP,ST,OVEN,1S,BS,800X850X700H","TUTTAPIASTRA EL,+FORNO,1LATO,CON ALZAT"
LABEL_CAUTION_ON/OFF/CLEAN_MIX OUT,ETICHETTA
IPRO1 CONVEYOR,CONVOGLIATORE I-PRO 1
HANDLE NHT XL,MANIGLIA
LIGHT_RED_POWER_URN,LED
"4""INK RIBBON",4 NASTRO INCHIOSTRO
CARBON CARTRIDGE,CARTUCCIA IN CARBONE PER NANOFILTRO
WOOD CHIPS,SCAGLIE DI LEGNO DI MELO 400GR
LIGHTING ASSEMBLY_DOOR_PIC2/3/33A,LAMPADA
"REPL,= 0700251432",SCHALTKNOPF NZ 9
"OPEN BASE,H2,GN,1-SIDE,400X900X550H",VANO APERTO H2 GN 1 LATO 400XH550
"GAS TOP,4 BURNERS,1-S,BSPL,800X850X250H","CUCINA A GAS 4 FUOCHI 1 LATO+ ALZ,H250"
"REPL,= 0780051568",RUBINETTO LIVELLO ACQUA
TUBE ASS,TUBO ASS
SUPPORT DRAIN EXTENSION,SUPPORTO LEVA DI SCARICO
PANEL OVERLAY,PANNELLO OVERLAY
FITTING 90°TANKVENT SILICONE,RACCORDO
PROBE L=2METER,SONDA L=2METER
"WSB5 LOAD,LPAINTED FRAME",CORNICE
SHROUD SPRAYHEAD,ALZATINA
HALF MOON,LAMIERINO
O-RING 3043 NBR,ANELLO OR 3043 NBR
WASHER NYLON,RONDELLA NYLON
TAMPER SUPPORT BUSH,SUPPORTO
FILLING SKID,BOCCA DI CARICO
ASS CONVEYOR,ASS CONVOGLIATORE
CONDENSER 264X87XH275,CONDENSATORE 264X87XH275
"VEG,PEELER+ABRAS,PL,10KG-200-440/3/50-60",PELATRICE 10KG+DISCO ABRASIVO-220-440/3
ANGLE R-1690,ANGOLARE
PCB PRE-PROGRAMMED,SCHEDA REMOTA HTWL 5 INGRESSI/6 RELE' PRE-PROGRAMMED
O-RING 6237,ANELLO OR 6237
TRANSFORMER 40VA,TRASFORMATORE
FRONT PANEL,PANNELLO FRONTALE
WOOD PALLET,PALLET IN LEGNO PER HT MANUAL
"REPL,= 0780069435",SCROCCO PORTA
SLIDING BLOCK,GUIDA PERNO
IPRO1 CONDENSER,CONDENSATORE I 6725
COGGED BELT,CINGHIA DENTATA
"REPL,= 07800S1404",CANNA
MICRO-SWITCH,MICROINTERRUTTORE
CHASSIS,TELAIO
MOTOR-KIT,MOTORE
"CUPBOARD BASE,H2,GN,1DR,1S,600X800X550H","BASE ARMADIATA600MM-1P,GN,1LATO(H2)-H550"
GUIDE OUTER,GUIDA OUTER
KNOB ASSY CPX,GRUPPO MANOPOLA CPX
THERMOSTAT 66TM 40A,TERMOSTATO 66TM 40A
MASK,MASCHERA
BUTTON BLACK,TASTO GOFFRATO NERO
PUMP 2HP,POMPA 2HP
SPACER D18X18,DISTANZIALE D18X18
DISCHARGES MANIFOLD,ASSIEME BACINELLA DOPPIO MICRO
VALVE DUMP 120V,VALVOLA
TANK COVER,RIPARO VASCA PER SP40
SQUARE FLANGE GASKET,GUARNIZIONE
EXTERNAL GLASS,ASSIEME SILICONATURA VETRO ESTERNO+PIANTONI PORTA PER FORNO MODD 4T
RED-GREEN SWITCH,INTERRUTTORE ROSSO-VERDE
FLEXIBLE HOSE,TUBO FLESSIBILE
PUSH-BUTTON,PULSANTE A PRESSIONE
BAND INTERNAL,FASCIA INTERNAL
PLASTIC PROFILE,PROFILO IN PLASTICA
HOPPER,TRAMOGGIA
SHELF BORD XBB30,RIPIANO BORD XBB30
PEDAL,PEDALE
"INDUCTION PAN+S/S HANDLE,D=280MM","PENTOLA INDUZ ALLUM,MANICO INOX,D=280MM"
"EL,SOLID TOP,4ZNE,ECO,1S,BS,1000X900X250","TUTTAPIAS,EL,ECOTOP,4 ZONE,1L,,ALZ,H250"
T-CONNECTION,RACCORDO A T
"REPL,= 077019013244",VALVOLA DI SICUREZZA
